PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR14702017036		Landscape matrix and species traits mediate responses of Neotropical resident birds to forest fragmentation in Jamaica.		Kennedy, Christina M.; Marra, Peter P.; Fagan, William F.; Neel, Maile C.				Ecological Monographs	80	4		651-669	Nov 2010	2010							Land cover and land use surrounding, fragmented habitat can greatly impact species persistence by altering resource availability, edge effects, or the movement of individuals throughout a landscape. Despite the potential importance of the landscape matrix, ecologists still have limited understanding of the relative effects of different types of land cover and land uses on species patterns and processes in natural systems. Here we investigated whether Neotropical resident bird communities in limestone forest patches differed if they were embedded in three different human-dominated matrix types (agriculture, pert-urban development, and bauxite mining) relative to sites in continuous forest in central Jamaica. We found that species richness, community composition, and abundances were matrix-dependent, with agricultural landscapes supporting greater avian diversity and more intact community assemblages than either pen-urban or bauxite landscapes. Abundance of almost 70% of species differed in forest embedded in the different landscape matrix types. Traits related to resource use best predicted species responses, including diet guild, nest height, habitat association, and foraging strata. Insectivores, frugivores, canopy nesters, understory and canopy foragers, and forest-restricted species rarely observed in matrix habitats had lower abundances in forest fragments embedded in human-dominated matrix types than in continuous forest. In contrast, nectarivores, omnivores, granivores, ground and multi-strata nesters, ground foragers, and species regularly in matrix habitats were least sensitive to forest fragmentation. Results suggest that structure, composition, and land use disturbance regimes in matrix areas impact overall habitat quality in landscapes by potentially mediating resource availability inside as well as outside forest habitat. This study reinforces the importance of differentiating among land cover and land uses in fragmentation research and lends support to the hypothesis that resource availability may be a primary factor driving Neotropical bird responses to fragmentation.				Kennedy, Christina/0000-0001-8902-8728; Marra, Peter/0000-0002-0508-7577				0012-9615							10.1890/09-0904.1	ZOOREC:ZOOR14702017036					
J	ZOOR14703021683		Ranging behavior and habitat selection of terrestrial insectivorous birds in north-east Tanzania: implications for corridor design in the Eastern Arc Mountains.		Newmark, W.D.; Mkongewa, V.J.; Sobek, A.D.				Animal Conservation	13	5		474-482	October 2010	2010							Understanding the ranging behavior and habitat selection of understory tropical birds is important for corridor design and enhancing functional connectivity in fragmented tropical landscapes. Here we report on the ranging behavior and habitat selection of three terrestrial insectivorous bird species, the spot-throat Modulatrix stictigula, Usambara thrush Turdus roehli and orange ground thrush Zoothera gurneyi, in the East (EUM) and West (WUM) Usambara Mountains in north-east Tanzania. Based on 5945 locations and 3676 bird radio-tracking hours conducted between 2001 and 2008 at four study sites in the EUM and WUM, we determined that the 95% kernel home range and 50% kernel core range for the spot-throat, Usambara thrush, and orange ground thrush are similar yet large (aggregate mean home range=10.3[plus or minus]1.1 ha; aggregate mean core range 1.5[plus or minus]0.4 ha); that these species are adverse to crossing non-forested openings [long dash] no bird was recorded over the course of the study to cross a non-forested opening >15 m; and that the most extinction-prone species in our study system, the spot-throat and Usambara thrush, preferentially used slightly disturbed and primary forest, respectively. These results indicate that maintaining continuous forest cover and minimizing forest disturbance in corridors in the Eastern Arc Mountains is important for enhancing their habitat suitability for these species.			marcos, filipa/G-7133-2011					1367-9430; 1469-1795								ZOOREC:ZOOR14703021683					
J	ZOOR14701007058		Forest patch size and isolation as drivers of bird species richness in Maputaland, Mozambique.		Guldemond, Robert A.R.; van Aarde, Rudi J.				Journal of Biogeography	37	10		1884-1893	Oct 2010	2010							Aim To examine the response of forest-dependent and generalist bird assemblages and feeding guilds to patch characteristics of forest fragments in the context of island biogeography and metapopulation theories in an area that supports high levels of species diversity and endemism. Location Dune, riverine, sand and swamp forest fragments in southern Mozambique's Maputaland. Methods We recorded 20 forest-dependent and 69 generalist bird species at 220 survey points in 30 forest fragments that ranged in size from 5 to 7432 ha and that were 100 to 5100 m apart. We used linear regressions to relate the number of species to forest fragment size, isolation, perimeter, fractal dimension, shape and core area for frugivores, insectivores, granivores, nectarivores, carnivores and omnivores separately for forest-dependent and generalist bird assemblages. We tested for modality in occupancy frequency distributions of species in forest fragments and used the binary matrix temperature calculator to determine whether the assemblages had a nested structure separately for forest-dependent and generalist bird species. Results The number of forest-dependent and generalist bird species categorized into the feeding guilds varied independently from forest patch parameter values. Occupancy models showed a random distribution for forest-dependent birds, and generalists had a unimodal distribution. Both the forest-dependent and generalist bird assemblages had a non-nested structure. The presence of eight rare forest-dependent and four endemic bird species in 22 of the 30 fragments contributed to the non-nested structure of these bird assemblages. Main conclusions Fragmented forests did not induce the expected responses of the forest bird assemblages in that the number of species was not explained by patch characteristics, nor could we find evidence for metapopulation dynamics. Non-nestedness may be caused by the few rare and endemic species occupying forest fragments with a wide range of patch characteristics. Knowledge of the response of species to forest fragmentation can benefit conservation planning catering for rare and endemic species. Our study suggests that all forest fragments in the region may have to be included in a conservation network to complement existing landscape-based plans to protect the region.			Guldemond, Robert/A-7800-2011					0305-0270								ZOOREC:ZOOR14701007058					
J	ZOOR14701006443		Conflict between insect conservation and public safety: the case study of a saproxylic beetle (Osmoderma eremita) in urban parks.		Carpaneto, Giuseppe Maria; Mazziotta, Adriano; Coletti, Giorgia; Luiselli, Luca; Audisio, Paolo				Journal of Insect Conservation	14	5		555-565	Oct 2010	2010							Urban parks can harbour small populations of saproxylic insects of high conservation concern, such as Osmoderma eremita and other rare beetles. These areas often host old trees which have become very uncommon in rural areas where they are threatened by commercial forestry management procedures based on frequent tree cutting. Nevertheless, old trees of urban parks may represent a hazard for public safety and are sometimes cut by management authorities. The aim of this work was to assess the loss of reproductive sites for saproxylic beetles of the Scarabaeidae, Lucanidae and Cerambycidae, when felling plans are adopted according to a Visual Tree Assessment Procedure (VTA), in a Mediterranean urban park. On July-August 2004, 1,247 holm oaks were surveyed within the border of an urban park of Rome (Villa Borghese). The occurrence of saproxylic beetles (i.e. the presence of frass, living insects or their remains) was verified in 66 old holm oaks, 41% of which were doomed to cutting by VTA. Eleven of these trees (41% of the trees doomed to be cut) held fragments of adults and sometimes living larvae of Osmoderma eremita, and four of them (36%) were included in the felling plan. The presence of Osmoderma eremita in tree holes was more frequent in deep cavities. The presence of frass in the cavities was positively associated with tree height and a high degree of damage at the root collar and negatively with the presence of hole-nesting birds.			Mazziotta, Adriano/C-1538-2018; Mazziotta, Adriano/C-9797-2009	Mazziotta, Adriano/0000-0003-2088-3798; Mazziotta, Adriano/0000-0003-2088-3798; AUDISIO, Paolo Aldo/0000-0002-7990-6934; CARPANETO, Giuseppe Maria/0000-0002-6874-3463				1366-638X								ZOOREC:ZOOR14701006443					
J	ZOOR14706045942		Moth diversity and abundance between habitats on a shade coffee plantation in western Jamaica.		Iwasaki, Jay M.				Bios (Florence)	81	3-4		108-113	Sep 2010	2010							Habitat loss is the leading cause of wildlife decline worldwide. More prevalent than outright destruction, however, is habitat fragmentation, exhibited especially in tropical regions. Less well studied is the effect of these patchworks of habitats, and the subsequent effect on local invertebrate populations. A small-scale study assessing moth diversity and abundance between forest edges and crop interiors on a shade coffee plantation was conducted in western Jamaica in January 2009. Ornithologists use shade coffee as an example of sustainable agriculture that protects neotropical migratory birds, and shade coffee plantations have been shown to act as a buffer area ("halo") between fragmented habitats for insects. The patches of vegetation allow moths to disperse between areas without suitable vegetation for host plants. UV black light traps were used at the edge and interior of each site to sample local moth fauna. While there was no significant difference in morphospecies richness or abundance, there was a difference in diversity between sites, with very low overlap. The lack of significance suggests coffee habitat may act as a buffer between less disturbed forest and more disturbed human altered areas, but that some species may be restricted to certain habitats. Many moth species are host specific, and can serve as useful indicators for ecosystem and vegetative health and relative abundances. Studies of insects are important because of this group's extreme species diversity, and further research is necessary for assessing alpha, beta, and gamma diversity in rapidly disappearing forests in Jamaica and across the world's tropical regions.								0005-3155								ZOOREC:ZOOR14706045942					
J	ZOOR14803022813		Avifauna in forest fragments of the Atlantic Rainforest in the south of Espirito Santo state, Brazil.	Avifauna em fragmentos lorestais da Mata Atlantica no sul do Espirito Santo.	Rossano Dario, Fabio				Biotemas	23	3		105-115	Setembro 2010	2010	http://www.biotemas.ufsc.br/volumes/v23n3.htm						This study was carried out in forest fragments located in the Atlantic Rainforest, in the town of Anchieta, south of Espirito Santo State, Brazil (located at latitude 20[degree]40[minute]S to 20[degree]48[minute]S, longitude 40[degree]34[minute]W to 40[degree]42[minute]W), along the seasons of 2008. The main objective of the study was to analyze the groups of birds that were affected by the forest fragmentation and the degree of isolation of these areas. The method used to register the avifauna specimens was the technique of observation per ixed point. Thus, the Shannon-Weaver diversity index (H'=4.18) was calculated, showing a significant abundance in the studied areas, and Equitability (E=0.81), suggesting that the number of species registered at the site represented the maximum capacity the areas were able to shelter. The Index of Point Abundance (IPA) was also calculated for each species. The IPA varied from 0.0042 (one contact) to 0.9500 (228 contacts), with a large number of species with low IPA and a few species with intermediate or high IPA. Taking into account 80 hours of observations, it was possible to register a total of 168 species of birds, distributed over a range of 45 families, 20 orders, and grouped in eight trophic guilds. Omnivores and insectivores were the most abundant, with 58 and 52 species respectively. The species most affected by the forest fragmentation were the great frugivores and understorey insectivorous birds.								0103-1643; 2175-7925								ZOOREC:ZOOR14803022813					
J	ZOOR14702012252		What can tree plantations do for forest birds in fragmented forest landscapes? A case study in southern Brazil.		Volpato, Graziele Hernandes; Prado, Vitor Miranda; dos Anjos, Luiz				Forest Ecology and Management	260	7		1156-1163	Aug 31 2010	2010							Despite the fact that tree plantations are not able to completely replace the ecological function of natural forests, the present study proposes to evaluate for which bird species or avian groups tree plantations act as habitat in fragmented landscape in southern Brazil. We compared the richness and abundance of bird species in a natural forest to adjacent plantations of Araucaria, a native tree species and of pine, an exotic plant in South America. Moreover, we evaluated the impact of tree plantations on richness of avian groups with different levels of dependence on forest habitat, feeding habits and foraging strata as well as on threatened species. The fixed 100 m radius point-counts method was used. A total of 114 bird species were recorded in all areas. Of those, 93 occurred in natural forest, 87 in Araucaria plantations and 81 in pine plantations. These results indicate that richness and abundance were lower in the pine plantations than in the natural forest and in the Araucaria plantations. Araucaria plantations can be used by a high number of bird species and their richness was not significantly lower than that observed in the adjacent natural forest. Our results suggest that Araucaria plantations could act as habitat for a large number of bird species, especially for forest-dependents species, insectivores, frugivores and species at different threat categories. (C) 2010 Elsevier B.V. All rights reserved.			Anjos, Luiz dos/F-9501-2012	Anjos, Luiz dos/0000-0002-8680-2375; Hernandes Volpato, Graziele/0000-0003-3231-6256				0378-1127								ZOOREC:ZOOR14702012252					
J	ZOOR14610066699		Occupancy dynamics in a tropical bird community: unexpectedly high forest use by birds classified as non-forest species.		Ruiz-Gutierrez, Viviana; Zipkin, Elise F.; Dhondt, Andre A.				Journal of Applied Ecology	47	3		621-630	Jun 2010	2010							1. Worldwide loss of biodiversity necessitates a clear understanding of the factors driving population declines as well as informed predictions about which species and populations are at greatest risk. The biggest threat to the long-term persistence of populations is the reduction and changes in configuration of their natural habitat. 2. Inconsistencies have been noted in the responses of populations to the combined effects of habitat loss and fragmentation. These have been widely attributed to the effects of the matrix habitats in which remnant focal habitats are typically embedded. 3. We quantified the potential effects of the inter-patch matrix by estimating occupancy and colonization of forest and surrounding non-forest matrix (NF). We estimated species-specific parameters using a dynamic, multi-species hierarchical model on a bird community in southwestern Costa Rica. 4. Overall, we found higher probabilities of occupancy and colonization of forest relative to the NF across bird species, including those previously categorized as open habitat generalists not needing forest to persist. Forest dependency was a poor predictor of occupancy dynamics in our study region, largely predicting occupancy and colonization of only non-forest habitats. 5. Our results indicate that the protection of remnant forest habitats is key for the long-term persistence of all members of the bird community in this fragmented landscape, including species typically associated with open, non-forest habitats. 6.Synthesis and applications. We identified 39 bird species of conservation concern defined by having high estimates of forest occupancy, and low estimates of occupancy and colonization of non-forest. These species survive in forest but are unlikely to venture out into open, non-forested habitats, therefore, they are vulnerable to the effects of habitat loss and fragmentation. Our hierarchical community-level model can be used to estimate species-specific occupancy dynamics for focal and inter-patch matrix habitats to identify which species within a community are likely to be impacted most by habitat loss and fragmentation. This model can be applied to other taxa (i.e. amphibians, mammals and insects) to estimate species and community occurrence dynamics in response to current environmental conditions and to make predictions in response to future changes in habitat configurations.			Dhondt, Andre/A-8292-2008	Dhondt, Andre/0000-0002-4946-1401				0021-8901								ZOOREC:ZOOR14610066699					
J	ZOOR14611075352		Bird richness and composition in a Cerrado fragment in the State of Sao Paulo.		Manica, L.T.; Telles, M.; Dias, M.M.				Brazilian Journal of Biology	70	2		243-254	May 2010	2010							Bird species richness is an important measure for monitoring biodiversity changes. We analysed avifauna richness and composition in a 472 ha protected cerrado fragment and surroundings at Fazenda Canchim (RL-CPPSE). Sao Carlos, in the State of Sao Paulo (SP). We carried out 95.1 hours of observation (22 visits) at irregular intervals from May 2004 to December 2006. Qualitative surveys were done walking through tracks inside the fragment and on the roads at its edge. We recorded 160 species, six of which were endemic to Cerrado domain. 22 migratory. seven threatened within the State of Silo Paulo, and two globally threatened. We found 28 species in the cerrado. 110 in the cerrado sensu strict, 13 in the gallery forest. 26 in the reservoir border. 26 in pasturelands and sugar cane monoculture and 55 in an anthropic area. Most of the species had low frequency of occurrence in all vegetation forms. Insectivores were the major trophic category (46.9%). which is typical in tropical regions, and it is also related to resource availability. Omnivores followed with 19.4%. granivores with 8.8% and frugivores with 7.5%. We conclude that, despite its size and conservation status, our study area has a remarkable bird community and must he considered as a priority conservation area to preserve bird species in Sao Paulo State.			Manica, Lilian T/M-6222-2016	Manica, Lilian T/0000-0001-6005-7103				1519-6984							10.1590/S1519-69842010005000001	ZOOREC:ZOOR14611075352	20552144				
J	ZOOR14611075515		Insectivorous Birds and Environmental Factors Across an Edge-Interior Gradient in Tropical Rainforest of Malaysia.		Moradi, Hossein Varasteh; Zakaria, Mohammed; Mohd, Abdullah B.; Yusof, Ebil				International Journal of Zoological Research	6	2		131-145	April-June 2010	2010							The study objectives were to test: (1) the effects of the edge-interior gradient on under storey insectivorous bird abundance, density and diversity; (2) effects of environmental variables along an edge-interior gradient at population level (i.e., on each sub-guilds and species abundance); (3) possible effects of environmental structure along an edge-interior gradient at community level (i.e., species richness, diversity and total abundance). Fifteen hundred and four birds belonging to 49 species were recorded. Species composition differed along the edge-interior gradient at the guild and species level. The composition of insectivorous birds was correlated with the latter measured environmental variables. Based on bird-habitat associations along the edge-interior gradient, two groups were distinguished. Arboreal foliage gleaning insectivores were positively correlated with ground cover, light intensity, shrub cover and percent of shrub cover between 0.5 and 2 m high. While terrestrial insectivores, were sensitive to the forest edge and could indicate the quality of forest interior habitats associated with high humidity, dense canopy cover and deep litter depth. Forest remnants in the lowlands of Peninsular Malaysia that have a deep leaf litter layer, a dense canopy cover and high relative humidity are able to support insectivorous species that are sensitive to edge effects. As such these forests have important conservation value.								1811-9778; 1811-9786								ZOOREC:ZOOR14611075515					
J	ZOOR14608050913		Comparing bird community responses to forest fragmentation in two lowland Central American reserves.		Sigel, Bryan J.; Robinson, W. Douglas; Sherry, Thomas W.				Biological Conservation	143	2		340-350	Feb 2010	2010							Habitat loss and fragmentation reduce diversity of tropical bird communities, but the predictability of how communities in fragments disintegrate over time remains unclear. We compared bird community changes of two lowland forest reserves, La Selva Biological Station (LSBS), Costa Rica and Barro Colorado Island (BCI), Panama, both approximately the same size (1500 ha) and at similar latitude (9-10 N) in Central America. Both reserves are losing bird species despite LSBS's connection to an existing large park (incomplete isolation) and BCI's favorable location within a largely forested landscape. We examined characteristics of guilds and species lost from the sites to determine whether patterns were similar, and thus predictable. Some of the same guilds declined at both reserves, particularly insectivores and ground/understory nesters. At LSBS mixed-species flock participants, forest species, and burrow-nesters also declined or became extirpated disproportionately. At BCI edge species became extirpated. Body mass was a poor predictor of species and guild loss at both sites, except for carnivores at La Selva. Thus, fragmentation appears to influence some guilds more than others, but which species decline or disappear in tropical forest fragments is also influenced by site-specific factors, mostly yet to be determined. We need to understand such idiosyncratic effects of fragmentation better, rather than rely on one-size-fits-all management plans to conserve bird communities in tropical forest fragments. (C) 2009 Elsevier Ltd. All rights reserved.				Sigel, Bryan/0000-0003-2345-9028; Robinson, W Douglas/0000-0003-2240-0606				0006-3207								ZOOREC:ZOOR14608050913					
J	ZOOR14701008144		Diet of Atlantic forest birds: an approach based on stomach contents.	Dieta de aves da mata Atlantica: uma abordagem baseada em conteudos estomacais.	Lima, Cassia Alves; Siqueira, Paulo Ricardo; Goncalves, Raissa M.M.; de Vasconcelos, Marcelo Ferreira; Leite, Lemuel Olivio				Ornitologia Neotropical	21	3		425-438	2010	2010							Diet of Atlantic forest birds: an approach based on stomach contents. - Considered one of the biomes that concentrates most of endemism in the world, the Atlantic forest is also one of the most fragmented and threatened biomes of the world. Knowledge on the remaining avifauna in this region is scarce, especially about trophic guilds that can help measure the vulnerability of these species in relation to the processes of habitats fragmentation and degradation. The aim of this study was to identify the food items which are consumed by the guilds of birds of this region and to evaluate the diet of some endemic species of this biome. The study was conducted by analyzing stomach contents (alcool-preserved) of voucher specimens deposited in the Ornithological Collection of the Zoology Department of the Federal University from Minas Gerais. From 98 bird species and 25 families we evaluated the stomach contents of 219 individuals. In the diet remainings 18 different food items were identified, most abundantly seeds and insects of the orders Coleoptera and Hymenoptera. The indicator species analysis showed that only Coleoptera and Hemiptera were indicators of the diet of insectivorous birds, while in omnivores plant remainings were predominant. Twenty-one endemic species which consumed 14 different food items were also included in the study. Considering the limited literature regarding the diet of the endemic species of Atlantic forest, the results contribute to a better knowledge about the diet of these species. The data summarized in this study show some of the food characteristics of various bird species which may serve as a basis for further research, conservation strategies, and future plans for managing the indigenous avifauna of the Atlantic forest.			Vasconcelos, Marcelo F/B-8097-2013; Leite, Lemuel/E-2460-2016					1075-4377								ZOOREC:ZOOR14701008144					
J	ZOOR14509057066		Mountain pine beetle and northern caribou: the Itcha-Ilgachuz experience.		Armleder, Harold; Waterhouse, Michaela				British Columbia Journal of Ecosystems and Management	9	3		102-105	Winter 2009	2009	http://www.forrex.org/jem/default.asp						The purpose of the Itcha-Ilgachuz Research Project is to develop and test silvicultural systems that maintain caribou habitat, including terrestrial and arboreal forage lichens, while extracting timber. To develop a viable silvicultural system we are also researching regeneration (planted and natural), breeding birds, microclimate, long-term site productivity, treefall, and growth and yield. We are also addressing the implications of high tree mortality, caused by mountain pine beetle (mpb), to caribou and other values. The current attack on the Chilcotin Plateau is causing much higher stand mortality than that experienced in the 1980s and a larger proportion of the landscape is affected. Irregular group shelterwood and group selection have been tested for over 10 years and results indicate these are viable silvicultural systems. With the arrival of mpb they remain a key part of the management approach. These systems have the potential to maintain habitat because: (1) the stand, even with mostly dead trees, still provides partial shade for lichens for about 20 years; (2) this gives regeneration a chance to grow for 20 years to provide future partial shade for lichens; (3) mobility is not an issue with 50% of the trees harvested; and (4) the standing dead trees provide a source of arboreal lichen fragments for the regenerating openings. Ongoing measurements will determine whether these initial indications are correct.								1488-4666								ZOOREC:ZOOR14509057066					
J	ZOOR14605033065		Increased avian insectivory in a fragmented temperated forest.		Lluch, A.; Gonzalez-Gomez, P.L.; de la Vega, X.; Simonetti, J.A.				Community Ecology	10	2		206-208	December 2009	2009							Habitat fragmentation increases the temporal variability in species richness and abundance of forest birds. Therefore, changes in the ecological interactions at which birds are engaged might be transient. Furthermore, despite changes in insectivory rates might have cascading effects if such changes are permanent, there are no evaluations of the persistency of changes in insectivory rates. In this study, we assessed the persistency of changes in insectivory in forest fragments, comparing the intensity of insectivory upon artificial insect larvae at three different years at a single site in central Chile. In coastal Maulino forest, the intensity of insectivory is persistently higher in forest fragments compared to continuous forest. An increase in insectivory might reduce herbivorous insect abundance which is translated into higher growth rates in seedlings at forest fragments, a factor that is changing forest dynamics. Our study suggests that the variation in bird insectivory on fragmented forest is a permanent phenomenon, which might have profound implication for the dynamics of the forest remnants.			Simonetti, Javier A./A-4658-2008	Simonetti, Javier A./0000-0002-7238-4133				1585-8553								ZOOREC:ZOOR14605033065					
J	ZOOR14604026642		Birds and army ants in a fragment of the Atlantic Forest of Brazil.		Faria, Christiana M.A.; Rodrigues, Marcos				Journal of Field Ornithology	80	4		328-335	December 2009	2009							Little is known about the birds associated with army-ant swarms in the Brazilian Atlantic forest. Our objectives were to locate and monitor army-ant swarms in the Atlantic rainforest of Brazil and to identify the species of birds that attended the swarms and exhibited bivouac-checking behavior. From July 2004 to August 2005, we located 49 swarms of army ants, including 28 Eciton burchelli, 19 Labidus praedator, and 2 Eciton vagans swarms. No birds were present at 17 (35%) swarms. At 32 swarms where birds were present, 22 (69%) were E. burchelli swarms and 10 (31%) were L. praedator swarms. No birds were observed at the two E. vagans swarms. We identified 66 species of birds attending the swarms, but only 43 species were observed foraging on prey flushed by the ants. Eighteen of these species had not been previously reported to forage in association with army-ant swarms. Most birds observed during our study attended army-ant swarms opportunistically, with White-shouldered Fire-eyes (Pyriglena leucoptera) the only obligate ant follower. Our observations suggest that the arthropods and other organisms flushed by army ants represent an important food resource for several species of birds in the Atlantic forest ecosystem.			Faria, Christiana M A/C-8611-2013; Rodrigues, Marcos/D-1060-2012	Faria, Christiana M A/0000-0001-9657-4655; 				0273-8570								ZOOREC:ZOOR14604026642					
J	ZOOR14610069912		Severe declines of ant-following birds in African rainforest fragments are facilitated by a subtle change in army ant communities.		Peters, Marcell K.; Okalo, Benjamin				Biological Conservation	142	10		2050-2058	October 2009	2009							Tropical rainforests are disappearing at a rapid rate. Although several studies have revealed the detrimental effects of forest fragmentation on tropical birds, the ecological mechanisms facilitating the decline of populations have been poorly documented. In the tropical rainforests of Africa and America, ant-following birds track the massive swarm raids of army ants and prey on animals which are flushed by the ants. We analyzed the persistence of five species of ant-following birds along a habitat fragmentation gradient in western Kenya and tested if bird populations are limited by the abundance of army ant colonies in forests. Abundances of four of five ant-followers declined by 52[long dash]100% in forest fragments [much less than]113 ha. Multi-model Bayesian inference suggests that the decline of the three most specialized ant-followers is facilitated by a decrease in the abundance of the army ant Dorylus wilverthi in small forest fragments. Our data suggests that a second, fragmentation-tolerant army ant species, Dorylus molestus, does not functionally compensate for the decline of D. wilverthi because, first, of a higher affinity of birds to D. wilverthi raids (found for one species). Second, because the daytime activity of D. molestus is dependent on high humidity conditions, a pattern which was not found for D. wilverthi. Consequently, specialized ant-followers in small fragments, where D. wilverthi is missing, probably suffer from food scarcity due to a cease of army ant foraging in the dry season. Our results suggest that a subtle alteration of army ant communities caused by habitat fragmentation may have large ecological consequences.				Peters, Marcell/0000-0002-1262-0827				0006-3207								ZOOREC:ZOOR14610069912					
J	ZOOR14604026746		The butterflies of Boabeng-Fiema Monkey Sanctuary - biodiversity and extinction in a forest fragment in Ghana.		Larsen, T.B.; Aduse-Poku, K.; Safian, Sz.				African Entomology	17	2		131-146	September 2009	2009							The butterfly fauna of the Boabeng-Fiema Monkey Sanctuary in Ghana is reviewed in detail. The Sanctuary covers just 1.9 km2 but only parts are truly forested. It is situated in the extreme north of the original forest zone and is Currently isolated from any larger forests by some 50 km of derived savanna and farmbush. It has survived only because it provides the essential habitat for two species of monkey that are revered by the local communities. Surveys indicate that the present butterfly fauna is about 375 species, which is impressive for a tiny forest in far from pristine condition. Comparison with other forests in Ghana indicates that it would have contained about 500 species when it was part of a larger, contiguous forest system. It would thus seem that the small size and increasing isolation has so far led to a loss of no more than 125 species (25 % of its original fauna), which includes most of the endemic and rarer species in the country A larger number of butterflies appears to Survive in small forest fragments than is the case with birds. Continued monitoring would be interesting in its own right, but also because forest fragments are potentially important as stepping stories between the increasingly isolated major forests of Ghana.								1021-3589							10.4001/003.017.0203	ZOOREC:ZOOR14604026746					
J	ZOOR14602008267		Seed dispersal distances and plant migration potential in tropical East Asia.		Corlett, Richard T.				Biotropica	41	5		592-598	September 2009	2009							Most predictions of vegetation responses to anthropogenic climate change over the next 100 yr are based on plant physiological tolerances and do not account for the ability of plant species to migrate over the distances required in the time available, or the impact of habitat fragmentation on this ability. This review assesses the maximum routine dispersal distances achievable in tropical East Asia and their vulnerability to human impacts. Estimates for various plant-vector combinations range from 10 m, for species dispersed by ants or mechanical means, to > 10 km for some species dispersed by wind (tiny seeds), water, fruit pigeons, large fruit bats (tiny seeds), elephants, rhinoceroses, and people. Most plant species probably have maximum dispersal distances in the 100-1000 m range, but the widespread, canopy-dominant Dipterocarpaceae and Fagaceae are normally dispersed 100 m. Large fruit bats and fruit pigeons are particularly important for long-distance dispersal in fragmented landscapes and should be protected from hunting. The maximum seed dispersal distances estimated in this study are potentially sufficient for many plant species to track temperature changes in steep topography, but are far too small for a significant role in mitigating climate change impacts in the lowlands, where temperature and rainfall gradients are much more shallow.			Corlett, Richard T./S-2899-2019; Corlett, Richard/G-1251-2011	Corlett, Richard/0000-0002-2508-9465				0006-3606								ZOOREC:ZOOR14602008267					
J	ZOOR14601002953		Stopover habitat selection by migrant landbirds in a fragmented forest-agricultural landscape.		Packett, Diane L.; Dunning, John B., Jr				Auk	126	3		579-589	July 2009	2009							Limited stopover habitat along migration routes is a possible contributor to population declines in migratory landbirds. In highly fragmented agricultural landscapes, potential stopover sites are often limited to riparian corridor forests and small forest patches, but there are little quantitative data oil stopover habitat selection in these areas, especially with regard to how migrants use isolated versus connected, and riparian versus upland, habitat patches. We examined the use of upland forest woodlots ill the forest-agricultural landscape of northwest Indiana as stopover habitat, to determine whether migrants selected stopover sites on the basis of proximity to riparian corridor forest. In two spring and two fall seasons, we conducted 384 surveys in 12 small woodlots at three levels of isolation from a riparian forest corridor, detecting 3,695 ell-route migrants of 76 species. We detected no difference in migrant abundance or species richness among distance classes in either season, and a principal-component variable comprising several woodlot isolation metrics was not a significant contributor to migrant abundance in linear regression models. Fall migrant abundance was positively associated with early-successional forests containing fruiting trees and shrubs, whereas spring abundance was not associated with any vegetation characteristics. The lack of patterns of habitat occupancy at the landscape level suggests that migrants select stopover sites on the basis of local habitat characteristics such as food resources, regardless of the landscape context. Small, isolated woodlots composed largely of forest edge with high fruit and insect abundance may, therefore, be important conservation targets in highly fragmented landscapes where forest cover is limited. Received 6 October 2008, accepted 1 March 2009.								0004-8038								ZOOREC:ZOOR14601002953					
J	ZOOR14601001118		Variable strength of top-down effects in Nothofagus forests: bird predation and insect herbivory during an ENSO event.		Mazia, C. Noemi; Chaneton, Enrique J.; Kitzberger, Thomas; Garibaldi, Lucas A.				Austral Ecology	34	4		359-367	June 2009	2009							Predators are thought to play a key role in controlling herbivory, thus having positive indirect effects on plants. However, evidence for terrestrial trophic cascades is still fragmentary, perhaps due to variation in top-down forces created by environmental heterogeneity. We examined the magnitude of predation effects on foliar damage by chewing insects and mean leaf size, by excluding birds from saplings in 'dry' and 'wet' Nothofagus pumilio forests in the northern Patagonian Andes, Argentina. The experiment lasted 2 years, encompassing a severe drought during the La Nina phase of a strong El Nino/Southern Oscillation event, which was followed by unusually high background folivory levels. Insect damage was consistently higher in wet than in dry forest saplings. In the drought year (1999), bird exclusion increased folivory rates in both forests but did not affect tree leaf size. In the ensuing season (2000), leaf damage was generally twice as high as in the drought year. As a result, bird exclusion not only increased the extent of folivory but also significantly decreased sapling leaf size. The latter effect was stronger in the wet forest, suggesting compensation of leaf area loss by dry forest saplings. Overall, the magnitude of predator indirect effects depended on the response variable measured. Insectivorous birds were more effective at reducing folivory than at facilitating leaf area growth. Our results indicate that bird-initiated trophic cascades protect N. pumilio saplings from insect damage even during years with above-normal herbivory, and also support the view that large-scale climatic events influence the strength of trophic cascades.			Garibaldi, Lucas A/D-7302-2013; Kitzberger, Thomas/H-9209-2015	Kitzberger, Thomas/0000-0002-9754-4121; Garibaldi, Lucas Alejandro/0000-0003-0725-4049				1442-9985								ZOOREC:ZOOR14601001118					
